location,category,doctor_name,rating,rating_count,experience,consultation_fee,clinic_address,specialization,registration,qualification,phone_number,detail_url
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.180730103535.E8T8
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.190131150910.R7V7
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.140422164145.R6F9
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.170113213331.Z9R3
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.220523115849.A4D1
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.150112173010.U4X2
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.140418194246.Q9I9
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.160108115044.L7P5
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.140417115705.L3S9
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.150727191730.M2V4
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.220203122453.S8I3
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.170813024942.P7A7
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022P6400466
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.140901115749.T9J2
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.140418203253.H3L6
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.150803173434.I0C3
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.140225133957.I9G6
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.220122152243.P8Y9
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022P30910
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.210813203024.N7V4
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.150727191730.W9F1
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.170113224630.J6W4
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.160825231102.X8Z8
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.200719120534.Y4V7
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.230812121745.C9L8
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.150803173434.A9T9
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PCLR20090326IROQ563304062
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.220319090703.C3S5
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.140418171554.H1K8
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.140918184530.V6J2
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.140419123254.L4H1
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.140422120014.X5X4
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.101014235148.H3Z4
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.200404171141.X7Q8
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.221011194611.U6U3
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PCLR20090313IROP393237541
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.230803112034.I7S3
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.220421113645.K7Y4
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.180824181814.T6H4
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.150804182912.E6D3
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.160304182525.P3T7
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.090826213816.H3D6
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.170124212550.W9C3
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.160108115046.D8Y2
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.140419124710.D1J4
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.160213210011.D3B7
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PCLR20081211IROP713219309
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.140421221959.V3Q2
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.140421195647.N7R6
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.150112181900.A4G2
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.000385278779.V2N0
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.190121112354.J7H8
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.201005174916.U7F2
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.190307132515.B7X4
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022P1151965
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.150810194118.G7X4
Mumbai,IVF,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://www.justdial.com/Mumbai/viewid-022PXX22.XX22.230320124155.X3D9
